Roll Number,Status
23P31A0514,success
23P31A0515,success
23P31A0516,success
23P31A0517,success
23P31A0518,success
23P31A0519,success
23P31A0520,success
23P31A0521,success
23P31A0522,success
23P31A0523,success
23P31A0524,success
23P31A0525,success
23P31A0526,success
23P31A0527,success
23P31A0528,success
23P31A0529,success
23P31A0530,success
23P31A0531,success
23P31A0532,success
23P31A0533,success
23P31A0534,success
23P31A0535,success
23P31A0536,success
23P31A0537,success
23P31A0538,success
23P31A0539,success
23P31A0540,success
23P31A0541,success
23P31A0542,success
23P31A0543,success
23P31A0544,success
23P31A0545,success
23P31A0546,success
23P31A0547,success
23P31A0548,success
23P31A0549,success
23P31A0550,success
23P31A0551,success
23P31A0552,success
23P31A0553,success
23P31A0554,success
23P31A0555,success
23P31A0556,success
23P31A0557,success
23P31A0558,success
23P31A0559,success
23P31A0560,success
23P31A0561,success
23P31A0562,success
23P31A0563,success
23P31A0564,success
23P31A0565,success
23P31A0566,success
23P31A0567,success
23P31A0568,success
23P31A0569,success
23P31A0570,success
23P31A0571,success
23P31A0572,success
23P31A0573,success
23P31A0574,success
23P31A0575,success
23P31A0576,success
23P31A0577,success
23P31A0578,success
23P31A0579,success
23P31A0580,success
23P31A0581,success
23P31A0582,success
23P31A0583,success
23P31A0584,success
23P31A0585,success
23P31A0586,success
23P31A0587,success
23P31A0588,success
23P31A0589,success
23P31A0590,success
23P31A0591,success
23P31A0592, failed
23P31A0593,success
23P31A0594,success
23P31A0595,success
23P31A0596,success
23P31A0597,success
23P31A0598,success
23P31A0599,success
23P31A05A0,success
23P31A05A1,success
23P31A05A2,success
23P31A05A3,success
23P31A05A4,success
23P31A05A5,success
23P31A05A6,success
23P31A05A7,success
23P31A05A8,success
23P31A05A9,success
23P31A05B0,success
23P31A05B1,success
23P31A05B2,success
23P31A05B3,success
23P31A05B4,success
23P31A05B5,success
23P31A05B6,success
23P31A05B7,success
23P31A05B8,success
23P31A05B9,success
23P31A05C0,success
23P31A05C1,success
23P31A05C2,success
23P31A05C3,success
23P31A05C4,success
23P31A05C5,success
23P31A05C6,success
23P31A05C7,success
23P31A05C8,success
23P31A05C9,success
23P31A05D0,success
23P31A05D1,success
23P31A05D2,success
23P31A05D3,success
23P31A05D4,success
23P31A05D5,success
23P31A05D6,success
23P31A05D7,success
23P31A05D8,success
23P31A05D9,success
23P31A05E0,success
23P31A05E1,success
23P31A05E2,success
23P31A05E3,success
23P31A05E4,success
23P31A05E5,success
23P31A05E6,success
23P31A05E7,success
23P31A05E8,success
23P31A05E9,success
23P31A05F0,success
23P31A05F1,success
23P31A05F2,success
23P31A05F3,success
23P31A05F4,success
23P31A05F5,success
23P31A05F6,success
23P31A05F7,success
23P31A05F8,success
23P31A05F9,success
23P31A05G0,success
23P31A05G1,success
23P31A05G2,success
23P31A05G3,success
23P31A05G4,success
23P31A05G5,success
23P31A05G6,success
23P31A05G7,success
23P31A05G8,success
23P31A05G9,success
23P31A05H0,success
23P31A05H1,success
23P31A05H2,success
23P31A05H3,success
23P31A05H4,success
23P31A05H5,success
23P31A05H6,success
23P31A05H7,success
23P31A05H8,success
23P31A05H9,success
23P31A05I0,success
23P31A05I1,success
23P31A05I2,success
23P31A05I3,success
23P31A05I4,success
23P31A05I5,success
23P31A05I6,success
23P31A05I7,success
23P31A05I8,success
23P31A05I9,success
23P31A05J0,success
23P31A05J1,success
23P31A05J2,success
23P31A05J3,success
23P31A05J4,success
23P31A05J5,success
23P31A05J6,success
23P31A05J7,success
23P31A05J8,success
23P31A05J9,success
23P31A05K0,success
23P31A05K1,success
23P31A05K2,success
23P31A05K3,success
23P31A05K4,success
23P31A05K5,success
23P31A05K6,success
23P31A05K7,success
23P31A05K8,success
23P31A05K9,success
23P31A05L0,success
23P31A05L1,success
23P31A05L2,success
23P31A05L3,success
23P31A05L4,success
23P31A05L5,success
23P31A05L6,success
23P31A05L7,success
23P31A05L8,success
23P31A05L9,success
23P31A05M0,success
23P31A05M1,success
23P31A05M2,success
23P31A05M3,success
23P31A05M4,success
23P31A05M5,success
23P31A05M6,success
23P31A05M7,success
23P31A05M8,success
23P31A05M9,success
23P31A05N0,success
23P31A05N1,success
23P31A05N2,success
23P31A05N3,success
23P31A05N4,success
23P31A05N5,success
23P31A05N6,success
23P31A05N7,success
23P31A05N8,success
23P31A05N9,success
23P31A05O0,success
23P31A05O1,success
23P31A05O2,success
23P31A05O3,success
23P31A05O4,success
23P31A05O5,success
23P31A05O6,success
23P31A05O7,success
23P31A05O8,success
23P31A05O9,success
23P31A05P0,success
23P31A05P1,success
23P31A05P2,success
23P31A05P3,success
23P31A05P4,success
23P31A05P5,success
23P31A05P6,success
23P31A05P7,success
23P31A05P8,success
23P31A05P9,success
23P31A05Q0,success
23P31A05Q1,success
23P31A05Q2,success
23P31A05Q3,success
23P31A05Q4,success
23P31A05Q5,success
23P31A05Q6,success
23P31A05Q7,success
23P31A05Q8,success
23P31A05Q9,success
23P31A05R0,success
23P31A05R1,success
23P31A05R2,success
23P31A05R3,success
23P31A05R4,success
23P31A05R5,success
23P31A05R6,success
23P31A05R7,success
23P31A05R8,success
23P31A05R9,success
23P31A05S0,success
23P31A05S1,success
23P31A05S2, failed
23P31A1201,success
23P31A1202,success
23P31A1203,success
23P31A1204,success
23P31A1205,success
23P31A1206,success
23P31A1207,success
23P31A1208,success
23P31A1209,success
23P31A1210,success
23P31A1211,success
23P31A1212,success
23P31A1213,success
23P31A1214,success
23P31A1215,success
23P31A1216,success
23P31A1217,success
23P31A1218,success
23P31A1219,success
23P31A1220,success
23P31A1221,success
23P31A1222,success
23P31A1223,success
23P31A1224,success
23P31A1225,success
23P31A1226,success
23P31A1227,success
23P31A1228,success
23P31A1229,success
23P31A1230,success
23P31A1231, failed
23P31A1232,success
23P31A1233,success
23P31A1234,success
23P31A1235,success
23P31A1236,success
23P31A1237,success
23P31A1238,success
23P31A1239,success
23P31A1240,success
23P31A1241,success
23P31A1242,success
23P31A1243,success
23P31A1244,success
23P31A1245,success
23P31A1246,success
23P31A1247,success
23P31A1248,success
23P31A1249,success
23P31A1250,success
23P31A1251,success
23P31A1252,success
23P31A1253,success
23P31A1254,success
23P31A1255,success
23P31A1256,success
23P31A1257,success
23P31A1258,success
23P31A1259,success
23P31A1260,success
23P31A1261,success
23P31A1262,success
23P31A1263,success
23P31A1264,success
23P31A1265,success
23P31A1266,success
23P31A1267,success
23P31A1268,success
23P31A1269,success
23P31A1270,success
23P31A1271,success
23P31A1272,success
23P31A1273,success
23P31A1274,success
23P31A1275,success
23P31A1276,success
23P31A1277,success
23P31A1278,success
23P31A1279,success
23P31A1280,success
23P31A1281,success
23P31A1282,success
23P31A1283,success
23P31A1284,success
23P31A1285,success
23P31A1286,success
23P31A1287,success
23P31A1288,success
23P31A1289,success
23P31A1290,success
23P31A1291,success
23P31A1292,success
23P31A1293,success
23P31A1294,success
23P31A1295,success
23P31A1296,success
23P31A1297,success
23P31A1298,success
23P31A1299,success
23P31A12A0,success
23P31A12A1,success
23P31A12A2,success
23P31A12A3,success
23P31A12A4,success
23P31A12A5,success
23P31A12A6,success
23P31A12A7,success
23P31A12A8,success
23P31A12A9,success
23P31A12B0,success
23P31A12B1,success
23P31A12B2,success
