671,22P35A0310,success,,,1,17P31A0334,success
672,22P35A0311,success,,,2,20P31A0110,success
673,22P35A0312,success,,,3,20P31A0129,success
674,22P35A0313,success,,,4,20P31A0159,success
675,22P35A0314,success,,,5,20P31A0430,success
676,22P35A0315,success,,,6,20P31A0570,success
677,22P35A0316,success,,,7,20P31A05A3,success
678,22P35A0317,success,,,1,21FF1A0510,failed
679,22P35A0318,success,,,2,21NN1A0480,failed
680,22P35A0319,success,,,8,21P31A0101,success
681,22P35A0320,success,,,9,21P31A0102,success
682,22P35A0321,success,,,10,21P31A0103,success
683,22P35A0322,success,,,11,21P31A0104,success
684,22P35A0323,success,,,12,21P31A0105,success
685,22P35A0324,success,,,13,21P31A0106,success
686,22P35A0325,success,,,14,21P31A0107,success
687,22P35A0326,success,,,15,21P31A0108,success
688,22P35A0327,success,,,16,21P31A0109,success
689,22P35A0328,success,,,17,21P31A0110,success
690,22P35A0329,success,,,18,21P31A0111,success
691,22P35A0330,success,,,19,21P31A0112,success
692,22P35A0331,success,,,20,21P31A0113,success
693,22P35A0332,success,,,21,21P31A0114,success
694,22P35A0333,success,,,22,21P31A0115,success
695,22P35A0334,success,,,23,21P31A0116,success
696,22P35A0335,success,,,24,21P31A0201,success
697,22P35A0336,success,,,25,21P31A0202,success
698,22P35A0337,success,,,26,21P31A0203,success
699,22P35A0338,success,,,27,21P31A0204,success
700,22P35A0339,success,,,28,21P31A0205,success
701,22P35A0340,success,,,29,21P31A0207,success
702,22P35A0341,success,,,30,21P31A0208,success
703,22P35A0342,success,,,31,21P31A0209,success
704,22P35A0343,success,,,32,21P31A0210,success
705,22P35A0344,success,,,33,21P31A0211,success
706,22P35A0345,success,,,34,21P31A0214,success
707,22P35A0346,success,,,35,21P31A0215,success
708,22P35A0347,success,,,36,21P31A0216,success
709,22P35A0348,success,,,37,21P31A0217,success
710,22P35A0349,success,,,38,21P31A0218,success
711,22P35A0350,success,,,39,21P31A0219,success
712,22P35A0351,success,,,40,21P31A0220,success
713,22P35A0352,success,,,41,21P31A0221,success
714,22P35A0353,success,,,42,21P31A0222,success
715,22P35A0354,success,,,43,21P31A0223,success
716,22P35A0355,success,,,44,21P31A0224,success
717,22P35A0356,success,,,45,21P31A0225,success
718,22P35A0357,success,,,46,21P31A0226,success
719,22P35A0358,success,,,47,21P31A0227,success
720,22P35A0359,success,,,48,21P31A0228,success
721,22P35A0360,success,,,49,21P31A0229,success
722,22P35A0361,success,,,50,21P31A0230,success
723,22P35A0362,success,,,51,21P31A0231,success
724,22P35A0363,success,,,52,21P31A0232,success
725,22P35A0364,success,,,53,21P31A0233,success
726,22P35A0365,success,,,54,21P31A0234,success
727,22P35A0366,success,,,55,21P31A0235,success
728,22P35A0367,success,,,56,21P31A0236,success
729,22P35A0368,success,,,57,21P31A0237,success
